bank,bank_level,bank_code,detail,type,type_id,atm,branch,office,address,dia_chi_cu_the,ward_id,outlet,ward,ward_pop,district,district_id,ward_level,district_level,formatted_address,latitude,longitude,cluster_name,cluster_id,cluster_desc
Vietinbank,Big,45,PGD Binh Phu. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Binh Phu. , Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","Cống Sông Bùng, Huyện Thạch Thất, TP. Hà Nội",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen,"Khu Công Nghiệp Bình Phú, Bình Phú, Thạch Thất, Hà Nội, Vietnam",21.0167508,105.6134984,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Phung Xa,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Phung Xa, Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","Số 09, đường 419 xã Phùng Xá, Thạch Thất, Hà Nội",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen,"2J6C+M7, Phùng Xá, Thạch Thất, Hà Nội, Vietnam",21.0116875,105.6206875,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VIB,Medium,41,VIB Thach That,Chi nhanh,branch,0,1,0,"Chi nhanh VIB (Quốc tế)-VIB Thach That, Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","Cống Bùng, đường 419, xã Phùng Xá, huyện Thạch Thất, Tp.Hà Nội",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen,"Cụm Công nghiệp Bình Phú, Xã Bình Phú, Huyện Thạch Thất, Bình Phú, , Hà Nội, Hà Nội, Vietnam",21.0176659,105.612445,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VIB,Medium,41,ATM471,ATM,atm,1,0,0,"ATM VIB-ATM471, Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","Khu công nghiệp Thạch Thất Quốc Oai, xã Phùng Xá, huyện Thạch Thất, thành phố Hà Nội",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen ,"kcn, TT. Quốc Oai, Thạch Thất, Hà Nội, Vietnam",21.0084343,105.6302391,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VIB,Medium,41,ATM384,ATM,atm,1,0,0,"ATM VIB-ATM384, Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","Cống Bùng, đường 419, xã Phùng xá, huyện Thạch Thất, thành phố Hà Nội",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen ,"kcn, TT. Quốc Oai, Thạch Thất, Hà Nội, Vietnam",21.0084343,105.6302391,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Phung Xa,ATM,atm,1,0,0,"ATM Techcombank-Techcombank Phung Xa, Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","Số 09, đường 419 xã Phùng Xá, Thạch Thất, Hà Nội",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen ,"2J6C+M7, Phùng Xá, Thạch Thất, Hà Nội, Vietnam",21.0116875,105.6206875,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Lang Hoa Lac,ATM,atm,1,0,0,"ATM Vietinbank-CN Lang Hoa Lac, Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","PGD Bình Phú, Cống Sông Bùng, Huyện Thạch Thất, TP. Hà Nội",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen ,"Khu Công Nghiệp Bình Phú, Bình Phú, Thạch Thất, Hà Nội, Vietnam",21.0167508,105.6134984,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
BIDV,Big,8,452002 - ATM Khuon vien Cty TNHH dien tu Meiko Viet Nam,ATM,atm,1,0,0,"ATM BIDV-452002 - ATM Khuon vien Cty TNHH dien tu Meiko Viet Nam, Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","Công ty TNHH điện tử Meiko Việt nam, Lô LD4 - Khu CN Thạch Thất",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen ,"Lô CN9, khu Công nghiệp Thạch Thất - Quốc Oai, xã Phùng Xá, huyện Thạch Thất, Hà Nội, Việt Nam, ĐCT08, Phùng Xá, Quốc Oai, Hà Nội, Vietnam",21.0077929,105.6279847,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
BIDV,Big,8,452004 - ATM Khuon vien Cty TNHH dien tu Meiko Viet Nam,ATM,atm,1,0,0,"ATM BIDV-452004 - ATM Khuon vien Cty TNHH dien tu Meiko Viet Nam, Xa Phung Xa, Huyen Thach That, Ha Noi, Viet Nam","Công ty TNHH điện tử Meiko Việt Nam, Lô LD4 - Khu CN Thạch Thất,Xã Phùng Xá,Huyện Thạch Thất, Thành phố Hà Nội",9997,1,Xa Phung Xa,13069,Huyen Thach That,276,Xa,Huyen ,"Lô CN9, khu Công nghiệp Thạch Thất - Quốc Oai, xã Phùng Xá, huyện Thạch Thất, Hà Nội, Việt Nam, ĐCT08, Phùng Xá, Quốc Oai, Hà Nội, Vietnam",21.0077929,105.6279847,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VIB,Medium,41,ATM330,ATM,atm,1,0,0,"ATM VIB-ATM330, Xa Phung Chau, Huyen Chuong My, Ha Noi, Viet Nam","Trường ĐHSP TDTT Hà Nội, Xã Phùng Châu, Huyện Chương Mỹ, Hà Nội",10021,1,Xa Phung Chau,12936,Huyen Chuong My,277,Xa,Huyen ,"Trường Đại học Sư phạm Thể Dục Thể Thao Hà Nội, Xã Phùng Châu, Huyện Chương Mỹ, Phụng Châu, Hà Nội, Vietnam",20.937323,105.711182,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD Dang Xa. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Dang Xa. , Xa Phu Thi, Huyen Gia Lam, Ha Noi, Viet Nam","Khu đô thị Đặng Xá, huyện Gia Lâm, TP. Hà Nội",559,1,Xa Phu Thi,9257,Huyen Gia Lam,18,Xa,Huyen,"Cách cổng trường 50m, đối diện cổng Trung tâm Thực nghiệp & Đào tạo nghề, Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội, Vietnam",21.0096824,105.9344676,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD Phu Thinh. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Phu Thinh. , Xa Phu Thi, Huyen Gia Lam, Ha Noi, Viet Nam","Phố Sủi, đường Ỷ Lan, xã Phú Thị, Huyện Gia Lâm, TP. Hà Nội",559,1,Xa Phu Thi,9257,Huyen Gia Lam,18,Xa,Huyen,"Cách cổng trường 50m, đối diện cổng Trung tâm Thực nghiệp & Đào tạo nghề, Ngô Xuân Quảng, Trâu Quỳ, Gia Lâm, Hà Nội, Vietnam",21.0096824,105.9344676,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Pgbank,Small,26,Phu Thuy,Chi nhanh,branch,0,1,0,"Chi nhanh PG Bank-Phu Thuy, Xa Phu Thi, Huyen Gia Lam, Ha Noi, Viet Nam","Ngã ba chợ Sủi, Ỷ Lan, Phú Thị, Gia Lâm",559,1,Xa Phu Thi,9257,Huyen Gia Lam,18,Xa,Huyen,"Ngã ba chợ Sủi, Đường Ỷ Lan, Xã Phú Thị, huyện Gia Lâm, Phú Thị, Gia Lâm, Hà Nội, Vietnam",21.016568,105.9649126,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Pgbank,Small,26,ATM Phu Thuy,ATM,atm,1,0,0,"ATM Pgbank-ATM Phu Thuy, Xa Phu Thi, Huyen Gia Lam, Ha Noi, Viet Nam","Ngã ba chợ Sủi, đường Ỷ Lan, xã Phú Thị, huyện Gia Lâm, Hà Nội",559,1,Xa Phu Thi,9257,Huyen Gia Lam,18,Xa,Huyen ,"Ngã ba chợ Sủi, Đường Ỷ Lan, Xã Phú Thị, huyện Gia Lâm, Phú Thị, Gia Lâm, Hà Nội, Vietnam",21.016568,105.9649126,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Sacombank,Big,29,ATM 1615-Cty giay Ngoc Ha,ATM,atm,1,0,0,"ATM Sacombank-ATM 1615-Cty giay Ngoc Ha, Xa Phu Thi, Huyen Gia Lam, Ha Noi, Viet Nam","Cty giày Ngọc Hà, KCN Phú Thị, Gia Lâm, Hà Nội",559,1,Xa Phu Thi,9257,Huyen Gia Lam,18,Xa,Huyen ,"Cty giày Ngọc Hà, KCN Phú Thị, Phú Thị, Tp.Hà Nội, Hà Nội, Vietnam",21.018237,105.962242,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Bac Ha Noi,ATM,atm,1,0,0,"ATM Vietinbank-CN Bac Ha Noi, Xa Phu Thi, Huyen Gia Lam, Ha Noi, Viet Nam","Công ty Điện Lực Gia Lâm - Thôn Phú Thị, Huyện Gia Lâm, TP. Hà Nội",559,1,Xa Phu Thi,9257,Huyen Gia Lam,18,Xa,Huyen ,"Khu Đô Thị Đặng Xá, Đặng Xá, Gia Lâm, Hà Nội, Vietnam",21.0146501,105.9489619,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD Phu My. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Phu My. , Xa Phu Nghia, Huyen Chuong My, Ha Noi, Viet Nam","Khu công nghiệp Phú Nghĩa, Chương Mỹ, TP. Hà Nội",10033,1,Xa Phu Nghia,11971,Huyen Chuong My,277,Xa,Huyen,"Khu Công Nghiệp Phú Nghĩa, Huyện Chương Mỹ, Phú Nghĩa, Chương Mỹ, Hà Nội, Vietnam",20.9293618,105.665185,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VIB,Medium,41,ATM399,ATM,atm,1,0,0,"ATM VIB-ATM399, Xa Phu Nghia, Huyen Chuong My, Ha Noi, Viet Nam",Cty Chee Wal – KCN Phú Nghĩa – Huyện Chương Mỹ – TP.Hà Nội,10033,1,Xa Phu Nghia,11971,Huyen Chuong My,277,Xa,Huyen ,"Khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa, Huyện Chương Mỹ., Phú Nghĩa, Hà Nội, Vietnam",20.928063,105.665491,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VIB,Medium,41,ATM477,ATM,atm,1,0,0,"ATM VIB-ATM477, Xa Phu Nghia, Huyen Chuong My, Ha Noi, Viet Nam","Khu công nghiệp Phú Nghĩa, xã Phú Nghĩa, huyện Chương Mỹ, thành phố Hà Nội.",10033,1,Xa Phu Nghia,11971,Huyen Chuong My,277,Xa,Huyen ,"Khu công nghiệp Phú Nghĩa, Xã Phú Nghĩa, Huyện Chương Mỹ., Phú Nghĩa, Hà Nội, Vietnam",20.928063,105.665491,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Sea Bank,Medium,32,ATM KCN Phu Nghia,ATM,atm,1,0,0,"ATM Sea Bank-ATM KCN Phu Nghia, Xa Phu Nghia, Huyen Chuong My, Ha Noi, Viet Nam","Km 25, quốc lộ 6, xã Phú Nghĩa, huyện Chương Mỹ, Hà Nội",10033,1,Xa Phu Nghia,11971,Huyen Chuong My,277,Xa,Huyen ,"Km 25, QL6, Phú Nghĩa, Chương Mỹ, Hà Nội, Vietnam",20.929226,105.664905,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,KCN Phu Nghia,ATM,atm,1,0,0,"ATM Techcombank-KCN Phu Nghia, Xa Phu Nghia, Huyen Chuong My, Ha Noi, Viet Nam","Km 25 Quốc Lộ 6, Chương Mỹ, Hà Nội",10033,1,Xa Phu Nghia,11971,Huyen Chuong My,277,Xa,Huyen ,"Km 25, QL6, Phú Nghĩa, Chương Mỹ, Hà Nội, Vietnam",20.929225,105.664905,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Thanh An,ATM,atm,1,0,0,"ATM Vietinbank-CN Thanh An, Xa Phu Nghia, Huyen Chuong My, Ha Noi, Viet Nam","Công ty TNHH Thời trang Star, Lô CN-B4, KCN Phú Nghĩa, huyện Chương Mỹ, Tp Hà Nội",10033,1,Xa Phu Nghia,11971,Huyen Chuong My,277,Xa,Huyen ,"Khu Công Nghiệp Phú Nghĩa, Huyện Chương Mỹ, Phú Nghĩa, Chương Mỹ, Hà Nội, Vietnam",20.9293618,105.665185,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Thanh An,ATM,atm,1,0,0,"ATM Vietinbank-CN Thanh An, Tòa nhà Phú Mỹ, KCN Phú Nghĩa, Xa Phu Nghia, Huyen Chuong My, Ha Noi, Viet Nam","Tòa nhà Phú Mỹ, KCN Phú Nghĩa, Chương Mỹ, Hà Nội",10033,1,Xa Phu Nghia,11971,Huyen Chuong My,277,Xa,Huyen ,"Khu Công Nghiệp Phú Nghĩa, Huyện Chương Mỹ, Phú Nghĩa, Chương Mỹ, Hà Nội, Vietnam",20.9293618,105.665185,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD Cang hang khong Noi Bai. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Cang hang khong Noi Bai. , Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Tầng 1, tòa nhà NTS, Cảng hàng không Quốc tế Nội Bài, huyện Sóc Sơn, TP. Hà Nội",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen,"Noi Bai International Airport (HAN), Đường Bắc Thăng Long, Nội Bài, Sóc Sơn, Hà Nội, Vietnam",21.214228,105.805485,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
ACB,Big,2,PGD Noi Bai,Phong giao dich,office,0,0,1,"Phong giao dich ACB-PGD Noi Bai, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Khu C, Tầng 1, Nhà ga T1, Sân bay Nội Bài, Huyen Soc Son, Ha Noi",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen,"Khu C, Tầng 1, Nhà Ga T1, Sân Bay Quốc Tế Nội Bài, Bắc Thăng Long - Nội Bài, Phú Minh, Sóc Sơn, Hà Nội, Vietnam",21.2181767,105.806398,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
BIDV,Big,8,PGD Noi Bai,Phong giao dich,office,0,0,1,"Phong giao dich BIDV-PGD Noi Bai, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Sảnh A2 - Tầng 1 - Nhà Ga T2 - Sân bay Nội Bài,Xã Phú Minh,Huyện Sóc Sơn, Thành phố Hà Nội,",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen,"Phù Lỗ, Sóc Sơn, Hanoi, Vietnam",21.1988285,105.8421745,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD San bay Quoc te Noi Bai. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD San bay Quoc te Noi Bai. , Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Sảnh A1, tầng 1, ga T2, Sân bay Quốc tế Nội Bài, Huyện Sóc Sơn, TP. Hà Nội",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen,"Sảnh B, Ga T1, Sân Bay Quốc Tế Nội Bài, Huyện Sóc Sơn, Tp Hà Nội Tp, Phú Cường, Sóc Sơn, Hà Nội, Vietnam",21.2163564,105.7993599,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Nha ga T2,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Nha ga T2, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","E05K2-2, Khu vực công cộng Tầng 1, Nhà ga Hành khách T2, Sân bay quốc tế Nội Bài, Phú Minh, Sóc Sơn, Hà Nội, Sóc Sơn, Hà Nội",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen,"Nhà GaT2, Nội Bài, Phú Cường, Sóc Sơn, Hà Nội, Vietnam",21.217136,105.792964,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Noi Bai,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Noi Bai, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Khu đất số 8, Cảng hàng không Quốc tế Nội Bài, Sóc Sơn, Hà Nội",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen,"Tầng 1, tầng 2, Tòa nhà NTS, cảng hàng không QT Nội Bài, Sóc Sơn, Hà Nội, Vietnam",21.2113401,105.806254,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,,ATM,atm,1,0,0,"ATM Agribank, Sanh Den A2 Nha Ga T2 San Bay Noi Bai, Viet Nam",Sanh Den A2 Nha Ga T2 San Bay Noi Bai,445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Noi Bai International Airport (HAN), Phú Minh, Sóc Sơn, Hà Nội, Vietnam",21.2187149,105.8041709,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,,ATM,atm,1,0,0,"ATM Agribank, PGD Noi Bai San Bay Noi Bai, Viet Nam",PGD Noi Bai San Bay Noi Bai,445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Noi Bai International Airport (HAN), Phú Minh, Sóc Sơn, Hà Nội, Vietnam",21.2187149,105.8041709,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Maritime Bank,Big,20,ATM T2 Noi bai,ATM,atm,1,0,0,"ATM Maritime Bank-ATM T2 Noi bai, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Khu vực sảnh đón A2, Tầng 1, nhà ga hành khách T2, sân bay Nội Bài, Huyện Sóc Sơn, Hà Nội, 24/7",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Nhà Ga T2, Cảng Hàng không quốc tế Nội Bài, Sóc Sơn, Phú Cường, Hà Nội, 100000, Vietnam",21.2173055,105.7925513,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VIB,Medium,41,ATM325,ATM,atm,1,0,0,"ATM VIB-ATM325, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam",Sân bay Nội Bài – Xã Phú Cường – Huyện Sóc Sơn – TP.Hà Nội,445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Noi Bai International Airport (HAN), Phú Minh, Sóc Sơn, Hà Nội, Vietnam",21.2187149,105.8041709,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Tong Cty Cang hang khong Mien Bac,ATM,atm,1,0,0,"ATM Techcombank-Tong Cty Cang hang khong Mien Bac, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Tổng Cty Cảng hàng không Miền Bắc, Sóc Sơn, Hà Nội",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Cảng Hàng Không Quốc Tế Nội Bài, Phú Minh, Sóc Sơn, Hà Nội, Vietnam",21.2113333,105.8062223,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Bac Thang Long,ATM,atm,1,0,0,"ATM Vietinbank- San Bay noi Bai, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Sảnh A, T1, Sân bay quốc tế Nội Bài",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Noi Bai International Airport (HAN), Đường Bắc Thăng Long, Nội Bài, Sóc Sơn, Hà Nội, Vietnam",21.214228,105.805485,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Bac Thang Long,ATM,atm,1,0,0,"ATM Vietinbank- Sanh A2 San Bay Noi Bai, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Khu vực Sảnh A2 công cộng Quốc tế đến Ga T2 - Sân bay Nội Bài, Xã Phú Minh",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Noi Bai International Airport (HAN), Đường Bắc Thăng Long, Nội Bài, Sóc Sơn, Hà Nội, Vietnam",21.214228,105.805485,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,CN Dong Anh,ATM,atm,1,0,0,"ATM Vietinbank-CN Dong Anh, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Phòng 102, tòa nhà NTS, ga Nội Bài",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"7, Nui Doi Street, Soc Son Town, Soc Son District, Phù Linh, Sóc Sơn, Hà Nội, Vietnam",21.260308,105.8497624,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
MB,Big,21,ATM PGD Cty Co Khi 25,ATM,atm,1,0,0,"ATM MB-ATM PGD Cty Co Khi 25, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Xã Phú minh, huyện Sóc Sơn, Hà nội",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Quốc Lộ 2, Mai Đình, Sóc Sơn, Hà Nội, Vietnam",21.1994467,105.8230859,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
VPBank,Big,46,ATM San bay Noi Bai ATM,ATM,atm,1,0,0,"ATM VPBank-ATM San bay Noi Bai ATM, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","tầng 1 nhà ga T2, sân bay Nội Bài, Phú Minh, Sóc Sơn, HN",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Phú Cường, Sóc Sơn, Hanoi, Vietnam",21.21256,105.803593,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
BIDV,Big,8,"427010 - ATM Khu cach ly, nha ga quoc te, SB Noi Bai (EI)",ATM,atm,1,0,0,"ATM BIDV-427010 - ATM Khu cach ly, nha ga quoc te, SB Noi Bai (EI), Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Khu cách ly đầu Tây, nhà ga T2, Sân bay quốc tế Nội Bài,Xã Phú Minh,Huyện Sóc Sơn, Thành phố Hà Nội,",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Phú Cường, Sóc Sơn, Hanoi, Vietnam",21.21256,105.803593,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
BIDV,Big,8,"427008 - ATM Sanh A1, Tang 1, nha ga quoc te, SB Noi Bai",ATM,atm,1,0,0,"ATM BIDV-427008 - ATM Sanh A1, Tang 1, nha ga quoc te, SB Noi Bai, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Sảnh A1, tầng 1, nhà ga t2 sân bay quốc tế Nội Bài,Xã Phú Minh,Huyện Sóc Sơn, Thành phố Hà Nộ",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,,21.22115873,105.8046464,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
BIDV,Big,8,"427007 - ATM Khu cach ly, Tang 2, nha ga quoc te, SB Noi Bai",ATM,atm,1,0,0,"ATM BIDV-427007 - ATM Khu cach ly, Tang 2, nha ga quoc te, SB Noi Bai, Xa Phu Minh, Huyen Soc Son, Ha Noi, Viet Nam","Khu cách ly Tầng 2 nhà ga T2 sân bay quốc tế Nội Bài,Xã Phú Minh,Huyện Sóc Sơn, Thành phố Hà Nội",445,1,Xa Phu Minh,10943,Huyen Soc Son,16,Xa,Huyen ,"Quầy thu đổi ngoại tệ sân bay quốc tế Nội Bài, Phú Cường, Sóc Sơn, Hà Nội, Vietnam",21.218716,105.804171,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
MB,Big,21,"ATM Trung doan 102, su doan 308",ATM,atm,1,0,0,"ATM MB-ATM Trung doan 102, su doan 308, Xa Phu Man, Huyen Quoc Oai, Ha Noi, Viet Nam","Trung đoàn 102, Xã Phú Mãn, Quốc Oai, Hà Nội",9940,1,Xa Phu Man,2332,Huyen Quoc Oai,275,Xa,Huyen ,"Unnamed Road, Phú Mãn, Quốc Oai, Hà Nội, Vietnam",20.9623151,105.5337544,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Maritime Bank,Big,20,Dinh Cong ATM,Chi nhanh,branch,0,1,0,"Chi nhanh Maritime Bank-Dinh Cong ATM, Xa Phu Lo, Huyen Soc Son, Ha Noi, Viet Nam","Số 1A phố Chợ Phù Lỗ, Huyện Sóc Sơn, Hà Nội. ",448,1,Xa Phu Lo,17471,Huyen Soc Son,16,Xa,Huyen,"Số 1A phố Chợ Phù Lỗ, xã Phù Lỗ, Phủ Lỗ, Sóc Sơn, Hà Nội 100000, Vietnam",21.2006959,105.8486344,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Agribank,Big,3,Linh Nam,Phong giao dich,office,0,0,1,"Phong giao dich Agribank-Linh Nam, Xa Phu Lo, Huyen Soc Son, Ha Noi, Viet Nam","Khu đường II, Xã Phù Lỗ, Huyện Sóc Sơn, Thành phố Hà Nội",448,1,Xa Phu Lo,17471,Huyen Soc Son,16,Xa,Huyen,"282 Lĩnh Nam, Hoàng Mai, Hà Nội, Vietnam",20.9818467,105.8794424,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
BIDV,Big,8,PGD Phu Lo,Phong giao dich,office,0,0,1,"Phong giao dich BIDV-PGD Phu Lo, Xa Phu Lo, Huyen Soc Son, Ha Noi, Viet Nam","Số 40 Đường 2,Xã Phù Lỗ,Huyện Sóc Sơn, Thành phố Hà Nội,Thành phố Hà Nội",448,1,Xa Phu Lo,17471,Huyen Soc Son,16,Xa,Huyen,"Phù Lỗ, Sóc Sơn, Hanoi, Vietnam",21.1988285,105.8421745,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Vietinbank,Big,45,PGD Phu Minh. ,Phong giao dich,office,0,0,1,"Phong giao dich VIETIN Bank-PGD Phu Minh. , Xa Phu Lo, Huyen Soc Son, Ha Noi, Viet Nam","Số 55C, phố chợ Phủ Lỗ, đường Quốc lộ 2, xã Phủ Lỗ, huyện Sóc Sơn, TP. Hà Nội",448,1,Xa Phu Lo,17471,Huyen Soc Son,16,Xa,Huyen,"Sảnh B, Ga T1, Sân Bay Quốc Tế Nội Bài, Huyện Sóc Sơn, Tp Hà Nội Tp, Phú Cường, Sóc Sơn, Hà Nội, Vietnam",21.2163564,105.7993599,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
Techcombank,Big,36,Techcombank Phu Lo  ,Chi nhanh,branch,0,1,0,"Chi nhanh Techcombank-Techcombank Phu Lo  , Xa Phu Lo, Huyen Soc Son, Ha Noi, Viet Nam","Số 148, đường 2,xã Phủ Lỗ, Sóc Sơn, Hà Nội",448,1,Xa Phu Lo,17471,Huyen Soc Son,16,Xa,Huyen,"196 Đường 2, Phủ Lỗ, Sóc Sơn, Hà Nội, Vietnam",21.197951,105.8380965,Group 1,1,"Sparsely populated areas, high ratio of children and population in labor age"
